residence_time_ms,phi,h2_fraction,inlet_temperature_k,pressure_atm,reactor_pressure_atm,outlet_temperature_k,temperature_rise_k,x_ch4,x_h2,x_o2,x_co,x_co2,x_h2o,x_no,ch4_conversion_percent,h2_conversion_percent,status,error_message
0.001,0.7,0.0,1000.0,10.0,10.000000000000014,1000.0001070610299,0.00010706102989388455,0.06849315061952145,1.3993513466552376e-15,0.19569471617727302,6.121748478777458e-19,9.246946057186254e-22,1.299534779925933e-13,1.6047817259906614e-27,9.549838697608948e-08,,extinguished,
0.002,0.7,0.0,1000.0,10.0,9.999999999999929,1000.0001066343904,0.00010663439036306954,0.06849315055373484,4.4378780274503114e-15,0.19569471611157574,4.919657795424949e-18,4.1158863587508526e-21,5.464803965586488e-13,7.300284128885215e-27,1.9154626773598693e-07,,extinguished,
0.005,0.7,0.0,1000.0,10.0,9.999999947936194,1000.0001054995803,0.00010549958028605033,0.06849315035409122,2.336279340313353e-14,0.19569471591262383,7.755993221204381e-17,1.2312198122569506e-19,3.5362042751584898e-12,3.8409012003148235e-25,4.830224109575454e-07,,extinguished,
0.01,0.7,0.0,1000.0,10.0,10.00000000016793,2131.6719825642695,1131.6719825642695,0.0009487644687875482,0.004588153453502491,0.07141831576890352,0.023275826083648345,0.042482424670893235,0.12270999956450165,3.6632243626043856e-05,98.58860245176736,,stable,
0.02,0.7,0.0,1000.0,10.0,10.000000000000002,2209.268640629959,1209.268640629959,0.00046022543987115657,0.0034158271203254312,0.06606877976212563,0.01608548508000019,0.050713878209662284,0.12583325318107189,6.309095847085418e-05,99.31854055087378,,stable,
0.05,0.7,0.0,1000.0,10.0,9.999999999999995,2279.0691326227516,1279.0691326227516,0.00021233234741574447,0.0022720178647067497,0.06231133826133579,0.009951079869737249,0.05754620966958524,0.1288463175299783,0.00011057793891355558,99.68704773980468,,stable,
0.1,0.7,0.0,1000.0,10.0,9.999999999999998,2315.2225477118222,1315.2225477118222,0.00012392755959740536,0.0016468902999713618,0.06065091408285963,0.006882351365733462,0.060926130294387565,0.13053896816562063,0.0001638054443018069,99.81779916005839,,stable,
0.2,0.7,0.0,1000.0,10.0,9.999999999999998,2340.1835664224277,1340.1835664224277,7.23217694234592e-05,0.0012088040720027021,0.0595763486508905,0.0047861386322871026,0.0632257536967152,0.13177320648970756,0.0002447113117280553,99.8938559078082,,stable,
0.5,0.7,0.0,1000.0,10.0,9.99999999999999,2359.8959456683983,1359.8959456683983,3.407144437050221e-05,0.000860833409574295,0.058695927688839425,0.003115985484837509,0.06505519764967416,0.13280098478885452,0.0004426096434050921,99.9500643922656,,stable,
1.0,0.7,0.0,1000.0,10.0,10.0,2367.5930782210726,1367.5930782210726,1.849397177700885e-05,0.0007193497867634507,0.05823759089832221,0.002426246989030376,0.06581072999059881,0.13323782002056384,0.0007343014726587533,99.9729106344748,,stable,
